time_period,area_name,median_monthly_pay
2024-10-01,East Midlands,2351
2024-11-01,East Midlands,2347
2024-12-01,East Midlands,2345
2025-01-01,East Midlands,2358
2025-02-01,East Midlands,2366
2025-03-01,East Midlands,2379
2025-04-01,East Midlands,2389
2025-05-01,East Midlands,2397
2025-06-01,East Midlands,2410
2025-07-01,East Midlands,2422
2025-08-01,East Midlands,2453
2025-09-01,East Midlands,2441
2025-10-01,East Midlands,2441
2025-11-01,East Midlands,2439
2025-12-01,East Midlands,2459
2026-01-01,East Midlands,2472
2026-02-01,East Midlands,2491
2026-03-01,East Midlands,2502
2026-04-01,East Midlands,2509
2026-05-01,East Midlands,2517
2014-07-01,West Midlands,1515
2014-08-01,West Midlands,1521
2014-09-01,West Midlands,1521
2014-10-01,West Midlands,1518
2014-11-01,West Midlands,1529
2014-12-01,West Midlands,1534
2015-01-01,West Midlands,1537
2015-02-01,West Midlands,1538
2015-03-01,West Midlands,1540
2015-04-01,West Midlands,1529
2015-05-01,West Midlands,1534
2015-06-01,West Midlands,1537
2015-07-01,West Midlands,1538
2015-08-01,West Midlands,1537
2015-09-01,West Midlands,1531
2015-10-01,West Midlands,1540
2015-11-01,West Midlands,1552
2015-12-01,West Midlands,1541
2016-01-01,West Midlands,1552
2016-02-01,West Midlands,1556
2016-03-01,West Midlands,1560
2016-04-01,West Midlands,1566
2016-05-01,West Midlands,1571
2016-06-01,West Midlands,1570
2016-07-01,West Midlands,1574
2016-08-01,West Midlands,1574
2016-09-01,West Midlands,1581
2016-10-01,West Midlands,1586
2016-11-01,West Midlands,1584
2016-12-01,West Midlands,1587
2017-01-01,West Midlands,1584
2017-02-01,West Midlands,1592
2017-03-01,West Midlands,1601
2017-04-01,West Midlands,1606
2017-05-01,West Midlands,1607
2017-06-01,West Midlands,1611
2017-07-01,West Midlands,1616
2017-08-01,West Midlands,1620
2017-09-01,West Midlands,1624
2017-10-01,West Midlands,1630
2017-11-01,West Midlands,1635
2017-12-01,West Midlands,1640
2018-01-01,West Midlands,1646
2018-02-01,West Midlands,1652
2018-03-01,West Midlands,1649
2018-04-01,West Midlands,1653
2018-05-01,West Midlands,1664
2018-06-01,West Midlands,1673
2018-07-01,West Midlands,1678
2018-08-01,West Midlands,1690
2018-09-01,West Midlands,1677
2018-10-01,West Midlands,1681
2018-11-01,West Midlands,1687
2018-12-01,West Midlands,1687
2019-01-01,West Midlands,1691
2019-02-01,West Midlands,1699
2019-03-01,West Midlands,1709
2019-04-01,West Midlands,1714
2019-05-01,West Midlands,1715
2019-06-01,West Midlands,1719
2019-07-01,West Midlands,1722
2019-08-01,West Midlands,1725
2019-09-01,West Midlands,1728
2019-10-01,West Midlands,1728
2019-11-01,West Midlands,1731
2019-12-01,West Midlands,1741
2020-01-01,West Midlands,1744
2020-02-01,West Midlands,1755
2020-03-01,West Midlands,1743
2020-04-01,West Midlands,1691
2020-05-01,West Midlands,1710
2020-06-01,West Midlands,1737
2020-07-01,West Midlands,1769
2020-08-01,West Midlands,1791
2020-09-01,West Midlands,1798
2020-10-01,West Midlands,1808
2020-11-01,West Midlands,1816
2020-12-01,West Midlands,1821
2021-01-01,West Midlands,1830
2021-02-01,West Midlands,1837
2021-03-01,West Midlands,1847
2021-04-01,West Midlands,1851
2021-05-01,West Midlands,1855
2021-06-01,West Midlands,1861
2021-07-01,West Midlands,1866
2021-08-01,West Midlands,1878
2021-09-01,West Midlands,1889
2021-10-01,West Midlands,1900
2021-11-01,West Midlands,1891
2021-12-01,West Midlands,1918
2022-01-01,West Midlands,1929
2022-02-01,West Midlands,1939
2022-03-01,West Midlands,1962
2022-04-01,West Midlands,1953
2022-05-01,West Midlands,1971
2022-06-01,West Midlands,1985
2022-07-01,West Midlands,1999
2022-08-01,West Midlands,2012
2022-09-01,West Midlands,2029
2022-10-01,West Midlands,2036
2022-11-01,West Midlands,2067
2022-12-01,West Midlands,2061
2023-01-01,West Midlands,2075
2023-02-01,West Midlands,2083
2023-03-01,West Midlands,2092
2023-04-01,West Midlands,2111
2023-05-01,West Midlands,2127
2023-06-01,West Midlands,2185
2023-07-01,West Midlands,2151
2023-08-01,West Midlands,2152
2023-09-01,West Midlands,2153
2023-10-01,West Midlands,2171
2023-11-01,West Midlands,2194
2023-12-01,West Midlands,2203
2024-01-01,West Midlands,2212
2024-02-01,West Midlands,2226
2024-03-01,West Midlands,2238
2024-04-01,West Midlands,2254
2024-05-01,West Midlands,2265
2024-06-01,West Midlands,2272
2024-07-01,West Midlands,2280
2024-08-01,West Midlands,2293
2024-09-01,West Midlands,2291
2024-10-01,West Midlands,2340
2024-11-01,West Midlands,2336
2024-12-01,West Midlands,2347
2025-01-01,West Midlands,2352
2025-02-01,West Midlands,2360
2025-03-01,West Midlands,2372
2025-04-01,West Midlands,2379
2025-05-01,West Midlands,2390
2025-06-01,West Midlands,2405
2025-07-01,West Midlands,2413
2025-08-01,West Midlands,2462
2025-09-01,West Midlands,2431
2025-10-01,West Midlands,2434
2025-11-01,West Midlands,2418
2025-12-01,West Midlands,2445
2026-01-01,West Midlands,2465
2026-02-01,West Midlands,2482
2026-03-01,West Midlands,2492
2026-04-01,West Midlands,2501
2026-05-01,West Midlands,2508
2014-07-01,East,1638
2014-08-01,East,1645
2014-09-01,East,1647
2014-10-01,East,1640
2014-11-01,East,1647
2014-12-01,East,1651
2015-01-01,East,1656
2015-02-01,East,1661
2015-03-01,East,1663
2015-04-01,East,1658
2015-05-01,East,1658
2015-06-01,East,1667
2015-07-01,East,1658
2015-08-01,East,1661
2015-09-01,East,1660
2015-10-01,East,1666
2015-11-01,East,1675
2015-12-01,East,1670
2016-01-01,East,1681
2016-02-01,East,1687
2016-03-01,East,1684
2016-04-01,East,1688
2016-05-01,East,1691
2016-06-01,East,1691
2016-07-01,East,1703
2016-08-01,East,1698
2016-09-01,East,1702
2016-10-01,East,1707
2016-11-01,East,1706
2016-12-01,East,1711
2017-01-01,East,1709
2017-02-01,East,1715
2017-03-01,East,1727
2017-04-01,East,1735
2017-05-01,East,1738
2017-06-01,East,1742
2017-07-01,East,1750
2017-08-01,East,1749
2017-09-01,East,1755
2017-10-01,East,1764
2017-11-01,East,1765
2017-12-01,East,1770
2018-01-01,East,1776
2018-02-01,East,1776
2018-03-01,East,1777
2018-04-01,East,1785
2018-05-01,East,1802
2018-06-01,East,1810
2018-07-01,East,1814
2018-08-01,East,1827
2018-09-01,East,1821
2018-10-01,East,1821
2018-11-01,East,1828
